symbol,exchange,shares_outstanding,public_float,short_interest_date,shares_sold_short,change_from_last,percent_of_float
AKU,NASDAQ,70180000.0,54130000.0,12/31/20,5023.0,-66.03,0.01
AKUS,NASDAQ,34380000.0,19600000.0,12/31/20,1790000.0,13.18,9.16
AL,NYSE,113780000.0,105920000.0,12/31/20,6660000.0,-5.14,6.28
AL.PRA,NYSE,,,12/31/20,3210.0,-50.99,
ALAC,NASDAQ,4620000.0,384976.0,12/31/20,32360.0,125.14,8.41
ALACR,NASDAQ,,,12/31/20,6870.0,-51.62,
ALACU,NASDAQ,,,12/31/20,,,
ALB,NYSE,106460000.0,106040000.0,12/31/20,3990000.0,-9.69,3.76
ALBO,NASDAQ,19080000.0,18040000.0,12/31/20,1770000.0,135.1,9.83
ALC,NYSE,499700000.0,485090000.0,12/31/20,6140000.0,2.47,1.27
ALCO,NASDAQ,7490000.0,4360000.0,12/31/20,71303.0,14.88,1.64
ALDX,NASDAQ,45660000.0,35460000.0,12/31/20,2220000.0,49.07,6.25
ALE,NYSE,51970000.0,51710000.0,12/31/20,1210000.0,21.01,2.34
ALEC,NASDAQ,79240000.0,55940000.0,12/31/20,6960000.0,-16.13,12.44
ALEX,NYSE,72350000.0,71260000.0,12/31/20,925177.0,83.35,1.3
ALG,NYSE,11880000.0,11520000.0,12/31/20,183002.0,27.52,1.59
ALGM,NASDAQ,189430000.0,33540000.0,12/31/20,4019999.0,77.5,11.99
ALGN,NASDAQ,78850000.0,72590000.0,12/31/20,1350000.0,-6.08,1.87
ALGS,NASDAQ,38120000.0,21650000.0,12/31/20,1960000.0,35.47,9.05
ALGT,NASDAQ,16390000.0,13490000.0,12/31/20,1090000.0,81.02,8.08
ALIM,NASDAQ,5720000.0,4990000.0,12/31/20,12255.0,-26.91,0.25
ALIN.PRA,NYSE,,,12/31/20,21359.0,-26.33,
ALIN.PRB,NYSE,,,12/31/20,3686.0,169.84,
ALIN.PRE,NYSE,,,12/31/20,15067.0,7.17,
ALJJ,NASDAQ,42170000.0,7350000.0,12/31/20,28598.0,-44.5,0.39
ALK,NYSE,123660000.0,123070000.0,12/31/20,5510000.0,6.93,4.48
ALKS,NASDAQ,159150000.0,157420000.0,12/31/20,11510000.0,1.67,7.31
ALL,NYSE,314120000.0,302540000.0,12/31/20,3710000.0,-20.59,1.23
ALL.PRB,NYSE,,,12/31/20,50718.0,34.14,
ALL.PRG,NYSE,,,12/31/20,60443.0,38.7,
ALL.PRH,NYSE,,,12/31/20,78952.0,176.37,
ALL.PRI,NYSE,,,12/31/20,3226.0,-81.0,
ALLE,NYSE,92040000.0,91580000.0,12/31/20,2980000.0,21.18,3.25
ALLK,NASDAQ,52500000.0,30970000.0,12/31/20,4170000.0,-5.35,13.47
ALLO,NASDAQ,140280000.0,68280000.0,12/31/20,13040000.0,15.67,19.09
ALLT,NASDAQ,34700000.0,31630000.0,12/31/20,445493.0,10.81,1.41
ALLY,NYSE,373840000.0,371830000.0,12/31/20,8590000.0,-10.62,2.31
ALLY.PRA,NYSE,,,12/31/20,61601.0,17.68,
ALNA,NASDAQ,50250000.0,41840000.0,12/31/20,1500000.0,14.38,3.58
ALNY,NASDAQ,115970000.0,114640000.0,12/31/20,3490000.0,-4.77,3.04
ALOT,NASDAQ,7170000.0,6450000.0,12/31/20,34280.0,-7.34,0.53
ALP.PRQ,NYSE,,,12/31/20,39518.0,22.1,
ALPN,NASDAQ,23800000.0,12660000.0,12/31/20,52738.0,87.34,0.42
ALRM,NASDAQ,49110000.0,44710000.0,12/31/20,3540000.0,-21.99,7.93
ALRN,NASDAQ,83610000.0,39280000.0,12/31/20,1560000.0,31.78,3.96
ALRS,NASDAQ,17120000.0,13750000.0,12/31/20,171023.0,24.99,1.24
ALSK,NASDAQ,53820000.0,48520000.0,12/31/20,493517.0,23.61,1.02
ALSN,NYSE,112670000.0,111910000.0,12/31/20,2820000.0,-3.52,2.52
ALT,NASDAQ,33070000.0,30920000.0,12/31/20,2930000.0,17.67,9.47
ALTA,NASDAQ,18800000.0,11590000.0,12/31/20,138978.0,-3.66,1.2
ALTG,NYSE,30020000.0,22080000.0,12/31/20,1020000.0,5.84,4.64
ALTG.PRA,NYSE,1200000.0,,,,,
ALTL,ARCA,1600000.0,,12/31/20,1.0,-98.41,
ALTM,NASDAQ,3750000.0,3610000.0,12/31/20,264390.0,8.53,7.33
ALTR,NASDAQ,43240000.0,42370000.0,12/31/20,4590000.0,6.59,10.83
ALTUU,NASDAQ,30000000.0,,12/31/20,2964.0,-92.72,
ALTY,NASDAQ,1800000.0,,12/31/20,11890.0,4.68,
ALUS,NYSE,28750000.0,28650000.0,12/31/20,4551.0,38.33,0.02
ALV,NYSE,87340000.0,87190000.0,12/31/20,1000000.0,-19.26,1.15
ALVR,NASDAQ,21570000.0,26990000.0,12/31/20,2550000.0,112.68,9.45
ALX,NYSE,5110000.0,2120000.0,12/31/20,73015.0,9.48,3.45
ALXN,NASDAQ,218720000.0,217740000.0,12/31/20,3680000.0,4.31,1.69
ALXO,NASDAQ,39490000.0,18210000.0,12/31/20,1180000.0,80.24,6.48
ALYA,NASDAQ,50910000.0,36700000.0,12/31/20,336.0,130.14,0.0
AM,NYSE,476640000.0,304410000.0,12/31/20,12940000.0,1.55,4.25
AMAL,NASDAQ,31050000.0,13050000.0,12/31/20,160288.0,15.24,1.23
AMAT,NASDAQ,914340000.0,909940000.0,12/31/20,10590000.0,-8.43,1.16
AMBA,NASDAQ,35170000.0,33520000.0,12/31/20,2130000.0,-8.49,6.34
AMBC,NYSE,45810000.0,45300000.0,12/31/20,3780000.0,2.11,8.35
AMBO,AMEX,20860000.0,20860000.0,12/31/20,109213.0,783.67,0.52
AMC,NYSE,108900000.0,56570000.0,12/31/20,38990000.0,2.39,68.93
AMCA,NASDAQ,,,12/31/20,16.0,-96.98,
